Carpark Code,Available Spaces,Carpark Open,Timestamp
SANDST,439,True,02-05 01:11:33
PIERRD,712,True,02-05 01:11:33
TEST,100,True,02-05 01:11:33
LESJARDIN,458,True,02-05 01:11:33
GREENST,307,True,02-05 01:16:16
MINDENPL,49,True,02-05 01:16:16
PATRIOTICST,337,True,02-05 01:16:16
SANDST,439,True,02-05 01:16:16
PIERRD,712,True,02-05 01:16:16
TEST,100,True,02-05 01:16:16
LESJARDIN,458,True,02-05 01:16:16
GREENST,307,True,02-05 01:21:34
MINDENPL,49,True,02-05 01:21:34
PATRIOTICST,337,True,02-05 01:21:34
SANDST,439,True,02-05 01:21:34
PIERRD,712,True,02-05 01:21:34
TEST,100,True,02-05 01:21:34
LESJARDIN,458,True,02-05 01:21:34
GREENST,307,True,02-05 01:26:17
MINDENPL,49,True,02-05 01:26:17
PATRIOTICST,337,True,02-05 01:26:17
SANDST,439,True,02-05 01:26:17
PIERRD,712,True,02-05 01:26:17
TEST,100,True,02-05 01:26:17
LESJARDIN,458,True,02-05 01:26:17
GREENST,307,True,02-05 01:31:20
MINDENPL,49,True,02-05 01:31:20
PATRIOTICST,337,True,02-05 01:31:20
SANDST,439,True,02-05 01:31:20
PIERRD,712,True,02-05 01:31:20
LESJARDIN,458,True,02-05 01:31:20
TEST,100,True,02-05 01:31:20
GREENST,307,True,02-05 01:36:24
MINDENPL,49,True,02-05 01:36:24
PATRIOTICST,337,True,02-05 01:36:24
SANDST,439,True,02-05 01:36:24
PIERRD,712,True,02-05 01:36:24
LESJARDIN,458,True,02-05 01:36:24
TEST,100,True,02-05 01:36:24
GREENST,307,True,02-05 01:41:33
MINDENPL,49,True,02-05 01:41:33
PATRIOTICST,337,True,02-05 01:41:33
SANDST,439,True,02-05 01:41:33
PIERRD,712,True,02-05 01:41:33
LESJARDIN,458,True,02-05 01:41:33
TEST,100,True,02-05 01:41:33
GREENST,307,True,02-05 01:46:36
MINDENPL,49,True,02-05 01:46:36
PATRIOTICST,337,True,02-05 01:46:36
SANDST,439,True,02-05 01:46:36
PIERRD,712,True,02-05 01:46:36
TEST,100,True,02-05 01:46:36
LESJARDIN,458,True,02-05 01:46:36
GREENST,307,True,02-05 01:51:39
MINDENPL,49,True,02-05 01:51:39
PATRIOTICST,337,True,02-05 01:51:39
SANDST,439,True,02-05 01:51:39
PIERRD,712,True,02-05 01:51:39
TEST,100,True,02-05 01:51:39
LESJARDIN,458,True,02-05 01:51:39
GREENST,307,True,02-05 01:56:40
MINDENPL,49,True,02-05 01:56:40
PATRIOTICST,337,True,02-05 01:56:40
SANDST,439,True,02-05 01:56:40
PIERRD,712,True,02-05 01:56:40
TEST,100,True,02-05 01:56:40
LESJARDIN,458,True,02-05 01:56:40
GREENST,307,True,02-05 02:01:32
MINDENPL,49,True,02-05 02:01:32
PATRIOTICST,337,True,02-05 02:01:32
SANDST,439,True,02-05 02:01:32
PIERRD,712,True,02-05 02:01:32
TEST,100,True,02-05 02:01:32
LESJARDIN,458,True,02-05 02:01:32
GREENST,307,True,02-05 02:06:36
MINDENPL,49,True,02-05 02:06:36
PATRIOTICST,337,True,02-05 02:06:36
SANDST,439,True,02-05 02:06:36
PIERRD,712,True,02-05 02:06:36
TEST,100,True,02-05 02:06:36
LESJARDIN,458,True,02-05 02:06:36
GREENST,307,True,02-05 02:11:40
MINDENPL,49,True,02-05 02:11:40
PATRIOTICST,337,True,02-05 02:11:40
SANDST,439,True,02-05 02:11:40
PIERRD,712,True,02-05 02:11:40
TEST,100,True,02-05 02:11:40
LESJARDIN,458,True,02-05 02:11:40
GREENST,307,True,02-05 02:16:33
MINDENPL,49,True,02-05 02:16:33
PATRIOTICST,337,True,02-05 02:16:33
SANDST,439,True,02-05 02:16:33
PIERRD,712,True,02-05 02:16:33
TEST,100,True,02-05 02:16:33
LESJARDIN,458,True,02-05 02:16:33
GREENST,307,True,02-05 02:21:36
MINDENPL,49,True,02-05 02:21:36
PATRIOTICST,337,True,02-05 02:21:36
SANDST,439,True,02-05 02:21:36
PIERRD,712,True,02-05 02:21:36
TEST,100,True,02-05 02:21:36
LESJARDIN,458,True,02-05 02:21:36
GREENST,307,True,02-05 02:26:39
MINDENPL,49,True,02-05 02:26:39
PATRIOTICST,337,True,02-05 02:26:39
SANDST,439,True,02-05 02:26:39
PIERRD,712,True,02-05 02:26:39
TEST,100,True,02-05 02:26:39
LESJARDIN,458,True,02-05 02:26:39
GREENST,307,True,02-05 02:31:21
MINDENPL,49,True,02-05 02:31:21
PATRIOTICST,337,True,02-05 02:31:21
SANDST,439,True,02-05 02:31:21
PIERRD,712,True,02-05 02:31:21
LESJARDIN,458,True,02-05 02:31:21
TEST,100,True,02-05 02:31:21
GREENST,307,True,02-05 02:36:34
MINDENPL,49,True,02-05 02:36:34
PATRIOTICST,337,True,02-05 02:36:34
SANDST,439,True,02-05 02:36:34
PIERRD,712,True,02-05 02:36:34
TEST,100,True,02-05 02:36:34
LESJARDIN,458,True,02-05 02:36:34
GREENST,307,True,02-05 02:41:36
MINDENPL,49,True,02-05 02:41:36
PATRIOTICST,337,True,02-05 02:41:36
SANDST,438,True,02-05 02:41:36
PIERRD,711,True,02-05 02:41:36
TEST,100,True,02-05 02:41:36
LESJARDIN,458,True,02-05 02:41:36
GREENST,307,True,02-05 02:46:40
MINDENPL,49,True,02-05 02:46:40
PATRIOTICST,337,True,02-05 02:46:40
SANDST,438,True,02-05 02:46:40
PIERRD,711,True,02-05 02:46:40
TEST,100,True,02-05 02:46:40
LESJARDIN,458,True,02-05 02:46:40
